markov,Db,F#,C5,C7-/13,Bb,G7,E,C,G,A
markov,G5,D5,C5,C#5,C5,C,B5,G,C5,E
markov,B,B,D,E,G,E,C,D,F,C5
j48,G,D,A,G,D,A,G,D,A,G
randomforests,G,D,A,G,D,A,G,D,A,G
oner,G,D,D,D,D,D,D,D,D,D
markov,E,C#m,D5,F#,G5,D,F#m,C5,A5,G5
markov,Bb,C#m,G,C5,E5,D5,B,A,F#m,C#
markov,C5,E,D,C7-/13,G5,D5,E,A,Am,C
j48,F5,G5,Am,A5,A5,D5,Am,F5,G5,Am
randomforests,F5,G5,Am,A5,A5,D5,Am,F5,G5,Am
oner,F5,G5,C5,Bb,G5,C5,Bb,G5,C5,Bb
markov,A5,C5,E,D5,A,D5,D,F5,Bm11,B5
markov,C#,G,Bm11/C#,A,G6,F9,G5,F#,G5,E5
markov,D5,B,A,C9,C#,F#m,F#m,C,G5,C5
j48,D,C,G,C,Em,C,G,D,D,D
randomforests,D,C,G,A,D,D,D,D,D,D
oner,D,D,D,D,D,D,D,D,D,D
markov,D,Am,G,Bm,B5,C5,G,G5,G6,G#
markov,C#5,Bm,G5,D,A,D5,F#m,C9,C#m,E5
markov,G5,B,C#m,B,B,G,B,C5,B5,B
j48,D,D,D,D,D,D,D,D,D,D
randomforests,D,D,D,D,D,D,D,D,D,D
oner,D,D,D,D,D,D,D,D,D,D
markov,A5,C#m,Bb,A5,G,Em,A,Em,E,B
markov,B5,G,B,G5,E,D,B,E,Am,G5
markov,B,G,D5,Bm,Bb/C,F#,G,A,F#,A5
j48,G,D,A,G,D,A,G,D,A,G
randomforests,G,D,D,D,D,D,D,D,D,D
oner,G,D,D,D,D,D,D,D,D,D
markov,Em,C5,C5,A5,D,C#,A,D5,G5,D
markov,B5,D5,C#5,Bb/C,G5,C7-/13,G5,E5,C5,B
markov,G,F#m,Bb,C5,A,B,Bb,Bb,C#,Bm
j48,D/A,G,Bm,Em,G,Bm,Em,G,Bm,Em
randomforests,D/A,G,Bm,Em,G,Bm,Em,G,Bm,Em
oner,D/A,G,D,D,D,D,D,D,D,D
markov,B,C5,F5,G,B5,A,G5,A,A,B
markov,G5,E,G7,G5,C5,C5,C#m,G7,F#m,C
markov,C5,D5,C5,Bm7,C#5,G,E,Bb,C,C9
j48,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6,Bm11
randomforests,Bm11/D,Bm11/C#,Bm11,Bm,Em,G,Bm,Em,G,Bm
oner,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6,Bm11
markov,A,G5,F9,D,D,E,E5,A5,C9,G
markov,C9,Bb/C,A5,E,D,E5,C5,C5,C,D
markov,C,F#7,G5,F#m,Em,C5,E,D5,A,D5
j48,A,G,F#,B,A,B,F#,E,D,G
randomforests,E,F#m,A,B,F#m,A,B,F#m,A,B
oner,A,G,D,D,D,D,D,D,D,D
markov,Bb,A,C5,B5,D,E,Bb,A,F#,B
markov,A,E,C,C5,A,D9,A5,C9,D9,E
markov,B5,A,D,G,Am,Am,C5,G,C,C#m
j48,Bm11/C#,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6
randomforests,Bm11/C#,Bm11/D,Bm11/C#,Bm11,Bm,Em,G,Bm,Em,G
oner,Bm11/C#,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6
markov,B,Bb,E,C5,D,E,D5,A,D,D5
markov,C5,C#m,A,E,G,B,B,G5,D5,C5
markov,G7,B5,E5,G,E,E5,F#5,C5,Am,D
j48,Bm11/C#,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6
randomforests,Bm11/C#,Bm11/D,Bm11/C#,Bm11,Bm,Em,G,Bm,Em,G
oner,Bm11/C#,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6
markov,B,E5,A,C#,G,F#m,Bm7,B,E,C#
markov,C#5,G,A,C,G5,B,C,D,G,G
markov,Em,F#m,C5,D,D,C,E5,A,D5,E
j48,G6,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6
randomforests,G6,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6
oner,G6,Bm11,D9,G6,Bm11,D9,G6,Bm11,D9,G6
markov,G5,E,G5,F#,F#m,C,A5,D,B,C#5
markov,D5,D5,E7/9,B,A,C5,G5,F#,C#,A5
markov,G,Bb,F#m,C#m,B,G,Bb,C5,B,E5
j48,G,D,A,G,D,A,G,D,A,G
randomforests,E5,G5,A5,G5,E5,G5,A5,G5,E5,G5
oner,G,D,D,D,D,D,D,D,D,D
markov,C5,C,B,Am,Bb,B5,D9,C5,A,A
markov,G5,F#m,C,Bb,A5,Bm11/C#,C,C5,E,A5
markov,E,F#,A5,E,C#,C,F#m,C,Bb/C,D
j48,G,C,G,D,D,D,D,D,D,D
