% ARFF generated from csvs: anythinggoes,civilwar,dustnbones,estranged,itssoeasy,mrbrownstone,mymichelle,nighttrain,novemberrain,outtagetme,paradisecity,patience,rocketqueen,sinceidonthaveyou,sweetchildomine,thinkaboutyou,usedtoloveher,welcometothejungle,youcouldbemine,yourcrazy
@RELATION data
@ATTRIBUTE first {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE second {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE third {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE fourth {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}
@ATTRIBUTE class {G,A7,G#,A,F#,F,E7,D,B,C,C#,B7,Em,D/F#,A5,E5,B/A,C/A,D/A,Bm,E,Gm7,Bb,Eb,Gm,Am,Bb5,G5,F#5,B5,D5,C#5,F5,C5,A/C#,C7-/13,F#m,C#m,G7,Db,Bb/C,F9,G#m,Cm,C9,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#,D7,D#,F#m7}

@DATA
G,A7,G#,A,G
A7,G#,A,G,A
G#,A,G,A,F#
A,G,A,F#,A
G,A,F#,A,F
A,F#,A,F,A7
F#,A,F,A7,E7
A,F,A7,E7,D
F,A7,E7,D,A
A7,E7,D,A,E7
E7,D,A,E7,F
D,A,E7,F,F#
A,E7,F,F#,G
E7,F,F#,G,D
F,F#,G,D,A
F#,G,D,A,G
G,D,A,G,D
D,A,G,D,E7
A,G,D,E7,D
G,D,E7,D,A
D,E7,D,A,E7
E7,D,A,E7,F
D,A,E7,F,F#
A,E7,F,F#,G
E7,F,F#,G,D
F,F#,G,D,A
F#,G,D,A,G
G,D,A,G,D
D,A,G,D,A
A,G,D,A,G
G,D,A,G,D
D,A,G,D,A
A,G,D,A,G
G,D,A,G,D
D,A,G,D,B
A,G,D,B,C
G,D,B,C,C#
D,B,C,C#,D
B,C,C#,D,E7
C,C#,D,E7,B7
C#,D,E7,B7,G
D,E7,B7,G,D
E7,B7,G,D,A7
B7,G,D,A7,G
G,D,A7,G,D
D,A7,G,D,A7
A7,G,D,A7,G
G,D,A7,G,D
D,A7,G,D,A
A7,G,D,A,G
G,D,A,G,D
D,A,G,D,A
A,G,D,A,G
G,D,A,G,D
D,A,G,D,A
A,G,D,A,G
G,D,A,G,D
D,A,G,D,A
A,G,D,A,G
G,D,A,G,D
D,A,G,D,A
A,G,D,A,A7
G,D,A,A7,G
D,A,A7,G,D
A,A7,G,D,A
Em,G,Em,G,D/F#
G,Em,G,D/F#,Em
Em,G,D/F#,Em,G
G,D/F#,Em,G,Em
D/F#,Em,G,Em,G
Em,G,Em,G,D/F#
G,Em,G,D/F#,A5
Em,G,D/F#,A5,A7
G,D/F#,A5,A7,E5
D/F#,A5,A7,E5,G
A5,A7,E5,G,D/F#
A7,E5,G,D/F#,E5
E5,G,D/F#,E5,G
G,D/F#,E5,G,D
D/F#,E5,G,D,Em
E5,G,D,Em,G
G,D,Em,G,D/F#
D,Em,G,D/F#,E5
Em,G,D/F#,E5,G
G,D/F#,E5,G,D
D/F#,E5,G,D,A
E5,G,D,A,B/A
G,D,A,B/A,C/A
D,A,B/A,C/A,D/A
A,B/A,C/A,D/A,G
B/A,C/A,D/A,G,Bm
C/A,D/A,G,Bm,Em
D/A,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,C
G,Bm,Em,C,D
Bm,Em,C,D,G
Em,C,D,G,Bm
C,D,G,Bm,Em
D,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,C
G,Bm,Em,C,D
Bm,Em,C,D,G
Em,C,D,G,Bm
C,D,G,Bm,Em
D,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,C
G,Bm,Em,C,D
Bm,Em,C,D,Em
Em,C,D,Em,G
C,D,Em,G,Em
D,Em,G,Em,G
Em,G,Em,G,D/F#
G,Em,G,D/F#,Em
Em,G,D/F#,Em,G
G,D/F#,Em,G,Em
D/F#,Em,G,Em,G
Em,G,Em,G,D/F#
G,Em,G,D/F#,A5
Em,G,D/F#,A5,A7
G,D/F#,A5,A7,E5
D/F#,A5,A7,E5,G
A5,A7,E5,G,D/F#
A7,E5,G,D/F#,E5
E5,G,D/F#,E5,G
G,D/F#,E5,G,D
D/F#,E5,G,D,Em
E5,G,D,Em,G
G,D,Em,G,D/F#
D,Em,G,D/F#,E5
Em,G,D/F#,E5,G
G,D/F#,E5,G,D
D/F#,E5,G,D,A
E5,G,D,A,G
G,D,A,G,Bm
D,A,G,Bm,Em
A,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,C
G,Bm,Em,C,D
Bm,Em,C,D,G
Em,C,D,G,Bm
C,D,G,Bm,Em
D,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,G
G,Bm,Em,G,Bm
Bm,Em,G,Bm,Em
Em,G,Bm,Em,C
G,Bm,Em,C,D
Bm,Em,C,D,G
Em,C,D,G,Bm
C,D,G,Bm,A
D,G,Bm,A,G
G,Bm,A,G,Bm
Bm,A,G,Bm,A
A,G,Bm,A,B/A
G,Bm,A,B/A,C/A
Bm,A,B/A,C/A,D/A
Em,Em,G,D/F#,E
Em,G,D/F#,E,E
G,D/F#,E,E,G
D/F#,E,E,G,D/F#
E,E,G,D/F#,E
E,G,D/F#,E,E
G,D/F#,E,E,G
D/F#,E,E,G,D/F#
E,E,G,D/F#,E
E,G,D/F#,E,D
G,D/F#,E,D,E
D/F#,E,D,E,D
E,D,E,D,E
D,E,D,E,D
E,D,E,D,C
D,E,D,C,B
E,D,C,B,B
D,C,B,B,A
C,B,B,A,G
B,B,A,G,F#
B,A,G,F#,E
A,G,F#,E,E
G,F#,E,E,G
F#,E,E,G,D/F#
E,E,G,D/F#,E
E,G,D/F#,E,E
G,D/F#,E,E,G
D/F#,E,E,G,D/F#
E,E,G,D/F#,E
E,G,D/F#,E,D
G,D/F#,E,D,E
D/F#,E,D,E,D
E,D,E,D,E
D,E,D,E,D
E,D,E,D,C
D,E,D,C,B
E,D,C,B,B
D,C,B,B,A
C,B,B,A,G
B,B,A,G,F#
B,A,G,F#,E
A,G,F#,E,E
G,F#,E,E,E
F#,E,E,E,E
E,E,E,E,E
E,E,E,E,B
E,E,E,B,D
E,E,B,D,A
E,B,D,A,B
B,D,A,B,D
D,A,B,D,E
A,B,D,E,A
B,D,E,A,B
D,E,A,B,D
E,A,B,D,A
A,B,D,A,B
B,D,A,B,D
D,A,B,D,E
A,B,D,E,A
B,D,E,A,B
D,E,A,B,D
E,A,B,D,A
A,B,D,A,B
B,D,A,B,D
D,A,B,D,E
A,B,D,E,A
B,D,E,A,B
D,E,A,B,D
E,A,B,D,A
A,B,D,A,B
B,D,A,B,D
D,A,B,D,E
A,B,D,E,A
B,D,E,A,E
D,E,A,E,G
E,A,E,G,D/F#
A,E,G,D/F#,E
E,G,D/F#,E,E
G,D/F#,E,E,A
D/F#,E,E,A,G
E,E,A,G,D/F#
E,A,G,D/F#,A
A,G,D/F#,A,G
G,D/F#,A,G,D/F#
D/F#,A,G,D/F#,A
A,G,D/F#,A,G
G,D/F#,A,G,D/F#
D/F#,A,G,D/F#,E
A,G,D/F#,E,E
Gm7,C,Gm7,C,Bb
C,Gm7,C,Bb,C
Gm7,C,Bb,C,G
C,Bb,C,G,Bb
Bb,C,G,Bb,C
C,G,Bb,C,G
G,Bb,C,G,Eb
Bb,C,G,Eb,Bb
C,G,Eb,Bb,Gm
G,Eb,Bb,Gm,F
Eb,Bb,Gm,F,Eb
Bb,Gm,F,Eb,G
Gm,F,Eb,G,F
F,Eb,G,F,Eb
Eb,G,F,Eb,G
G,F,Eb,G,F
F,Eb,G,F,G
Eb,G,F,G,F
G,F,G,F,G
F,G,F,G,F
G,F,G,F,G
F,G,F,G,Eb
G,F,G,Eb,D
F,G,Eb,D,F
G,Eb,D,F,G
Eb,D,F,G,Gm
D,F,G,Gm,F
F,G,Gm,F,Eb
G,Gm,F,Eb,G
Gm,F,Eb,G,F
F,Eb,G,F,Eb
Eb,G,F,Eb,G
G,F,Eb,G,Gm7
F,Eb,G,Gm7,C
Eb,G,Gm7,C,Bb
G,Gm7,C,Bb,C
Gm7,C,Bb,C,G
C,Bb,C,G,Bb
Bb,C,G,Bb,C
C,G,Bb,C,G
G,Bb,C,G,C
Bb,C,G,C,G
C,G,C,G,F
G,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,Am
C,G,F,Am,G
G,F,Am,G,F
F,Am,G,F,G
Am,G,F,G,Am
G,F,G,Am,G
F,G,Am,G,F
G,Am,G,F,G
Am,G,F,G,Am
G,F,G,Am,G
F,G,Am,G,F
G,Am,G,F,G
Am,G,F,G,Am
G,F,G,Am,G
F,G,Am,G,F
G,Am,G,F,E
Am,G,F,E,D
G,F,E,D,C
F,E,D,C,Bb
E,D,C,Bb,G
D,C,Bb,G,C
C,Bb,G,C,C
Bb,G,C,C,G
G,C,C,G,F
C,C,G,F,C
C,G,F,C,G
G,F,C,G,F
F,C,G,F,C
C,G,F,C,C
G,F,C,C,G
F,C,C,G,Am
C,C,G,Am,G
C,G,Am,G,F
G,Am,G,F,G
Am,G,F,G,Am
G,F,G,Am,G
F,G,Am,G,F
G,Am,G,F,G
Am,G,F,G,Am
G,F,G,Am,G
F,G,Am,G,F
G,Am,G,F,G
Am,G,F,G,Am
G,F,G,Am,G
F,G,Am,G,F
G,Am,G,F,D
Am,G,F,D,C
G,F,D,C,F
F,D,C,F,C
E5,E5,Bb5,G5,E
E5,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,F#5
Bb5,G5,E,F#5,G5
G5,E,F#5,G5,B5
E,F#5,G5,B5,A5
F#5,G5,B5,A5,F#5
G5,B5,A5,F#5,G5
B5,A5,F#5,G5,B5
A5,F#5,G5,B5,A5
F#5,G5,B5,A5,E5
G5,B5,A5,E5,D5
B5,A5,E5,D5,G5
A5,E5,D5,G5,F#5
E5,D5,G5,F#5,E
D5,G5,F#5,E,D5
G5,F#5,E,D5,G5
F#5,E,D5,G5,F#5
E,D5,G5,F#5,E
D5,G5,F#5,E,D5
G5,F#5,E,D5,G5
F#5,E,D5,G5,F#5
E,D5,G5,F#5,E
D5,G5,F#5,E,D5
G5,F#5,E,D5,G5
F#5,E,D5,G5,F#5
E,D5,G5,F#5,E
D5,G5,F#5,E,Bb5
G5,F#5,E,Bb5,G5
F#5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,Bb5
Bb5,G5,E,Bb5,G5
G5,E,Bb5,G5,E
E,Bb5,G5,E,F#5
Bb5,G5,E,F#5,G5
G5,E,F#5,G5,B5
E,F#5,G5,B5,A5
F#5,G5,B5,A5,F#5
G5,B5,A5,F#5,G5
B5,A5,F#5,G5,F#5
A5,F#5,G5,F#5,G5
F#5,G5,F#5,G5,F#5
G5,F#5,G5,F#5,G5
F#5,G5,F#5,G5,B5
G5,F#5,G5,B5,A5
F#5,G5,B5,A5,F#5
G5,B5,A5,F#5,G5
B5,A5,F#5,G5,B5
A5,F#5,G5,B5,A5
F#5,G5,B5,A5,Bb5
G5,B5,A5,Bb5,G5
B5,A5,Bb5,G5,E
E5,D5,E5,D5,A5
D5,E5,D5,A5,B5
E5,D5,A5,B5,G5
D5,A5,B5,G5,E5
A5,B5,G5,E5,A5
B5,G5,E5,A5,D5
G5,E5,A5,D5,C#5
E5,A5,D5,C#5,B5
A5,D5,C#5,B5,G5
D5,C#5,B5,G5,E5
C#5,B5,G5,E5,E5
B5,G5,E5,E5,A5
G5,E5,E5,A5,D5
E5,E5,A5,D5,C#5
E5,A5,D5,C#5,B5
A5,D5,C#5,B5,G5
D5,C#5,B5,G5,E5
C#5,B5,G5,E5,E5
B5,G5,E5,E5,G5
G5,E5,E5,G5,A5
E5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,A5
G5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,A5
G5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,A5
G5,E5,G5,A5,G5
E5,G5,A5,G5,E5
G5,A5,G5,E5,G5
A5,G5,E5,G5,F5
G5,E5,G5,F5,G5
E5,G5,F5,G5,C5
G5,F5,G5,C5,Bb
F5,G5,C5,Bb,C5
G5,C5,Bb,C5,D5
C5,Bb,C5,D5,C5
Bb,C5,D5,C5,D5
C5,D5,C5,D5,E5
D5,C5,D5,E5,E5
C5,D5,E5,E5,D5
D5,E5,E5,D5,C#5
E5,E5,D5,C#5,B5
E5,D5,C#5,B5,E5
D5,C#5,B5,E5,B5
C#5,B5,E5,B5,A5
B5,E5,B5,A5,B5
E5,B5,A5,B5,A5
B5,A5,B5,A5,E5
A5,B5,A5,E5,B5
B5,A5,E5,B5,A5
A5,E5,B5,A5,B5
E5,B5,A5,B5,A5
B5,A5,B5,A5,G5
A5,B5,A5,G5,F5
B5,A5,G5,F5,G5
A5,G5,F5,G5,C5
G5,F5,G5,C5,Bb
F5,G5,C5,Bb,C5
G5,C5,Bb,C5,D5
C5,Bb,C5,D5,C5
Bb,C5,D5,C5,D5
C5,D5,C5,D5,D5
D5,C5,D5,D5,E5
C5,D5,D5,E5,E5
D5,D5,E5,E5,D5
