% ARFF generated from csvs: mrbrownstone,mymichelle,nighttrain,novemberrain,outtagetme,paradisecity,sweetchildomine,thinkaboutyou,welcometothejungle
@RELATION gnr_4
@ATTRIBUTE first {E5,D5,A5,B5,G5,C#5,F5,C5,Bb,F#5,A/C#,C7-/13,B,F#m,C#,C,A,D,E,Bm,C#m,G,Am,G7,G#,E7,F#,Db,Bb/C,F9,F,C9,Em,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#}
@ATTRIBUTE second {E5,D5,A5,B5,G5,C#5,F5,C5,Bb,F#5,A/C#,C7-/13,B,F#m,C#,C,A,D,E,Bm,C#m,G,Am,G7,G#,E7,F#,Db,Bb/C,F9,F,C9,Em,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#}
@ATTRIBUTE third {E5,D5,A5,B5,G5,C#5,F5,C5,Bb,F#5,A/C#,C7-/13,B,F#m,C#,C,A,D,E,Bm,C#m,G,Am,G7,G#,E7,F#,Db,Bb/C,F9,F,C9,Em,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#}
@ATTRIBUTE class {E5,D5,A5,B5,G5,C#5,F5,C5,Bb,F#5,A/C#,C7-/13,B,F#m,C#,C,A,D,E,Bm,C#m,G,Am,G7,G#,E7,F#,Db,Bb/C,F9,F,C9,Em,Bm7,Bm11,D9,G6,F#7,Bm11/C#,Bm11/D,E7/9,A#}

@DATA
E5,D5,E5,D5
D5,E5,D5,A5
E5,D5,A5,B5
D5,A5,B5,G5
A5,B5,G5,E5
B5,G5,E5,A5
G5,E5,A5,D5
E5,A5,D5,C#5
A5,D5,C#5,B5
D5,C#5,B5,G5
C#5,B5,G5,E5
B5,G5,E5,E5
G5,E5,E5,A5
E5,E5,A5,D5
E5,A5,D5,C#5
A5,D5,C#5,B5
D5,C#5,B5,G5
C#5,B5,G5,E5
B5,G5,E5,E5
G5,E5,E5,G5
E5,E5,G5,A5
E5,G5,A5,G5
G5,A5,G5,E5
A5,G5,E5,G5
G5,E5,G5,A5
E5,G5,A5,G5
G5,A5,G5,E5
A5,G5,E5,G5
G5,E5,G5,A5
E5,G5,A5,G5
G5,A5,G5,E5
A5,G5,E5,G5
G5,E5,G5,A5
E5,G5,A5,G5
G5,A5,G5,E5
A5,G5,E5,G5
G5,E5,G5,F5
E5,G5,F5,G5
G5,F5,G5,C5
F5,G5,C5,Bb
G5,C5,Bb,C5
C5,Bb,C5,D5
Bb,C5,D5,C5
C5,D5,C5,D5
D5,C5,D5,E5
C5,D5,E5,E5
D5,E5,E5,D5
E5,E5,D5,C#5
E5,D5,C#5,B5
D5,C#5,B5,E5
C#5,B5,E5,B5
B5,E5,B5,A5
E5,B5,A5,B5
B5,A5,B5,A5
A5,B5,A5,E5
B5,A5,E5,B5
A5,E5,B5,A5
E5,B5,A5,B5
B5,A5,B5,A5
A5,B5,A5,G5
